"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2832","Products Page","sales-portal-visual","Thu Nov 20 18:44:30 UTC 2025","failed","Thu Nov 20 18:44:33 UTC 2025","[Sales Portal] [Visual]","","",""
"","2351","Products Page components","sales-portal-visual","Thu Nov 20 18:44:29 UTC 2025","failed","Thu Nov 20 18:44:32 UTC 2025","[Sales Portal] [Visual]","","",""
"","696","Login as Admin via API","setup","Thu Nov 20 18:44:24 UTC 2025","passed","Thu Nov 20 18:44:24 UTC 2025","","","",""
"","2686","Product Details Modal","sales-portal-visual","Thu Nov 20 18:44:30 UTC 2025","failed","Thu Nov 20 18:44:33 UTC 2025","[Sales Portal] [Visual]","","",""
